Book Title;Year;Series Title;Imprint;URL
Investment Banks, Hedge Funds, and Private Equity (Third Edition);2018;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128047231
The Law of Emergencies (Second Edition);2018;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128042755
Limnology (Third Edition);2001;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780127447605
Materials Selection in Mechanical Design (Fourth Edition);2011;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9781856176637
A Mathematical Introduction to Logic (Second Edition);2001;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780122384523
Mathematical Physics with Partial Differential Equations;2013;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123869111
Matrix Methods (Third Edition);2009;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123744272
Medical Cell Biology (Third Edition);2007;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123704580
Medical Microbiology (Eighteenth Edition);2012;;Churchill Livingstone;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780702040894
Mergers, Acquisitions, and Other Restructuring Activities (Ninth Edition);2018;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128016091
Mergers, Acquisitions, and Other Restructuring Activities (Tenth Edition);2020;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128150757
Modern Embedded Computing;2012;;Morgan Kaufmann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123914903
Modern Engineering Thermodynamics;2011;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123749963
Modern Physics;2010;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123751126
Modern Physics (Second Edition);2015;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128007341
Molecular Biology (Second Edition);2013;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123785947
Molecular Biology (Third Edition);2019;;Academic Cell;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128132883
Molecular Microbiology Laboratory (Second Edition);2013;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123970442
Molecular Pathology;2009;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123744197
Molecular Virology of Human Pathogenic Viruses;2017;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128008386
The Musculoskeletal System (Second Edition);2010;;Churchill Livingstone;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780702033773
Navigating the Maze;2020;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128147108
The Nervous System (Second Edition);2010;;Churchill Livingstone;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780702033735
Neurology (Third Edition);2010;;Churchill Livingstone;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780702032240
Neurology and Neurosurgery Illustrated (Fifth Edition);2011;;Content Repository Only!;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780443069574
New Perspectives in Forensic Human Skeletal Identification;2018;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128054291
The New Public Health (Third Edition);2015;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780124157668
Nuclear Energy (Eighth Edition);2020;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128128817
Nuclear Engineering;2018;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780081009628
Numerical Methods (Fourth Edition);2019;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128122563
Numerical Methods for Partial Differential Equations;2016;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128498941
Orbital Mechanics for Engineering Students (Second Edition);2010;Aerospace Engineering;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780123747785
Orbital Mechanics for Engineering Students (Third Edition);2014;;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780080977478
Orbital Mechanics for Engineering Students (Fourth Edition);2020;Aerospace Engineering;Butterworth-Heinemann;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780081021330
Organic Chemistry (Second Edition);2019;;Academic Press;http://www.us.debiblio.com/login?url=https://www.sciencedirect.com/science/book/9780128128381
